OBJECT,source,Teff,e_Teff,[Fe/H],e_[Fe/H],log(g),e_log(g),FILE,simbadnames_x,ID_NAME,OBJECT_ID,filename,exptime,EXTSNR,qprog,rv,basenames,simbadnames_y
GJ_745_A,Mann,3500,60,-0.33,0.08,4.927,0.05,N/A,TIC_384491142|PLX_4451|LSPM_J1907+2053|ASCC__800727|UCAC2__39189853|USNO-B1.0_1108-00373266|CCDM_J19072+2053A|CSI+20-19050|Ci_20_1129|G_184-48|G_185-3|GAT__153|GCRV_11580|GJ___745_A|HIC__93873|HIP__93873|IDS_19029+2044_A|LFT_1449|LHS__3432|LTT_15601|NLTT_47424|PM_19050+2049|Ross__730|TYC_1598-325-1|Zkh_284|[RHG95]__3004|2MASS_J19070556+2053168|WISEP_J190705.22+205313.4|WDS_J19072+2053B|**_LDS_1017B|UCAC4_555-082340|PM_J19070+2053|Gaia_DR1_4519789317615004800|Gaia_DR2_4519789321933481856|Karmn_J19070+208,Gaia_DR2_4519789321933481856,TIC 384491142,./library/20240701_specmatch_nir/FITS/neidL2_20220610T082851.fits,899.844,43.7753,2022A-452266,32.3717,neidL2_20220610T082851.fits,TIC_384491142|PLX_4451|LSPM_J1907+2053|ASCC__800727|UCAC2__39189853|USNO-B1.0_1108-00373266|CCDM_J19072+2053A|CSI+20-19050|Ci_20_1129|G_184-48|G_185-3|GAT__153|GCRV_11580|GJ___745_A|HIC__93873|HIP__93873|IDS_19029+2044_A|LFT_1449|LHS__3432|LTT_15601|NLTT_47424|PM_19050+2049|Ross__730|TYC_1598-325-1|Zkh_284|[RHG95]__3004|2MASS_J19070556+2053168|WISEP_J190705.22+205313.4|WDS_J19072+2053B|**_LDS_1017B|UCAC4_555-082340|PM_J19070+2053|Gaia_DR1_4519789317615004800|Gaia_DR2_4519789321933481856|Karmn_J19070+208
GJ_3072,Gaidos,3967,301.067,-0.19,0.1,4.72,0.12,N/A,TIC_24250831|2MASS_J01022113-1025256|PLX__208|BD-11___192|GCRV___590|GEN#_-0.01100192|GJ__3072|GSC_05273-01440|HIC___4845|HIP___4845|MCC___3|PPM_209648|TYC_5273-1440-1|UGP__15|[RHG95]___203|PLX__208.00|WISEA_J010221.15-102527.7|Gaia_DR1_2473055947291890816|WEB___934|Gaia_DR2_2473055951588089088,Gaia_DR2_2473055951588089088,TIC 24250831,./library/20240701_specmatch_nir/FITS/neidL2_20211219T055002.fits,899.831,30.6263,2021B-0435,9.39051,neidL2_20211219T055002.fits,TIC_24250831|2MASS_J01022113-1025256|PLX__208|BD-11___192|GCRV___590|GEN#_-0.01100192|GJ__3072|GSC_05273-01440|HIC___4845|HIP___4845|MCC___3|PPM_209648|TYC_5273-1440-1|UGP__15|[RHG95]___203|PLX__208.00|WISEA_J010221.15-102527.7|Gaia_DR1_2473055947291890816|WEB___934|Gaia_DR2_2473055951588089088
GJ_105_B,Mann,3284,60,-0.12,0.03,4.941,0.049,N/A,TIC_278962913|LSPM_J0236+0652|2MASS_J02361535+0652191|USNO-B1.0_0968-00026146|8pc_138.72B|CCDM_J02361+0653B|CSI+06___398__2|Ci_20__175|G__73-71|G__76-12|GEN#_+1.00016160B|GEN#_+1.20016160|GEN#_+9.80073071|GJ___105_B|GSC_00052-00151|IDS_02307+0626_B|LFT__218|LHS____16|LTT_10859|MCC_396|NLTT__8455|UBV____2587|USNO_802|V*_BX_Cet|Zkh__44|[R78b]_153|[RHG95]___463|vMa_2-3|**_PLQ___32B|WDS_J02361+0653C|AKARI-IRC-V1_J0236161+065228|WISE_J023616.50+065233.0|PMSC_02307+0626B|Gaia_DR2_18565464288396416|WISEA_J023616.52+065232.9|UCAC4_485-003632|PM_J02362+0652|Karmn_J02362+068,Gaia_DR2_18565464288396416,TIC 278962913,./library/20240701_specmatch_nir/FITS/neidL2_20211220T062240.fits,899.825,34.1012,2021B-0435,26.2741,neidL2_20211220T062240.fits,TIC_278962913|LSPM_J0236+0652|2MASS_J02361535+0652191|USNO-B1.0_0968-00026146|8pc_138.72B|CCDM_J02361+0653B|CSI+06___398__2|Ci_20__175|G__73-71|G__76-12|GEN#_+1.00016160B|GEN#_+1.20016160|GEN#_+9.80073071|GJ___105_B|GSC_00052-00151|IDS_02307+0626_B|LFT__218|LHS____16|LTT_10859|MCC_396|NLTT__8455|UBV____2587|USNO_802|V*_BX_Cet|Zkh__44|[R78b]_153|[RHG95]___463|vMa_2-3|**_PLQ___32B|WDS_J02361+0653C|AKARI-IRC-V1_J0236161+065228|WISE_J023616.50+065233.0|PMSC_02307+0626B|Gaia_DR2_18565464288396416|WISEA_J023616.52+065232.9|UCAC4_485-003632|PM_J02362+0652|Karmn_J02362+068
GJ_70,Mann,3458,60,-0.13,0.08,4.808,0.05,N/A,TIC_369534824|2MASS_J01432015+0419172|PLX__363.1|LSPM_J0143+0419|ASCC_1096514|UCAC2__33162859|USNO-B1.0_0943-00016573|AC_+03__2259-0|AC_+04__2595-239|CSI+04-01408|G___3-14|G__71-28|GCRV_51952|GEN#_+9.80003014|GEN#_+6.10010070|GJ____70|HIC___8051|HIP___8051|LFT_1851|LHS__1290|LTT_10604|MCC__93|NLTT__5733|PM_01408+0405|TYC___32-1005-1|UBV_M__42923|Zkh__32|[R78b]__77|[RHG95]___319|PLX__363.10|WISEA_J014319.89+041910.0|UCAC4_472-002320|StKM_2-154|PM_J01433+0419|Gaia_DR1_2560771342823697152|WEB__1724|Gaia_DR2_2560771312759450496|Karmn_J01433+043,Gaia_DR2_2560771312759450496,TIC 369534824,./library/20240701_specmatch_nir/FITS/neidL2_20211219T065631.fits,899.821,13.5113,2021B-0435,-25.934,neidL2_20211219T065631.fits,TIC_369534824|2MASS_J01432015+0419172|PLX__363.1|LSPM_J0143+0419|ASCC_1096514|UCAC2__33162859|USNO-B1.0_0943-00016573|AC_+03__2259-0|AC_+04__2595-239|CSI+04-01408|G___3-14|G__71-28|GCRV_51952|GEN#_+9.80003014|GEN#_+6.10010070|GJ____70|HIC___8051|HIP___8051|LFT_1851|LHS__1290|LTT_10604|MCC__93|NLTT__5733|PM_01408+0405|TYC___32-1005-1|UBV_M__42923|Zkh__32|[R78b]__77|[RHG95]___319|PLX__363.10|WISEA_J014319.89+041910.0|UCAC4_472-002320|StKM_2-154|PM_J01433+0419|Gaia_DR1_2560771342823697152|WEB__1724|Gaia_DR2_2560771312759450496|Karmn_J01433+043
GJ_699,Mann2015,3228,60,-0.4,0.08,5.09,0.05,N/A,TIC_325554331|PLX_4098|LSPM_J1757+0441|ASCC_1153178|UCAC2__33428712|2MASS_J17574849+0441405|USNO-B1.0_0946-00315199|8pc_549.01|AC2000__146626|BD+04__3561a|CCDM_J17578+0441A|CSI+04-17554|CSV___7737|Ci_20_1069|G_140-24|GAT___12|GCRV_10392|GJ___699|GSC_00425-00184|GSC_00425-02502|HIC__87937|HIP__87937|IRAS_17553+0438|JP11____18|LFT_1385|LHS____57|LTT_15309|MCC_799|NLTT_45718|NSV__9910|TYC__425-2502-1|UBV___15269|USNO_347|USNO_876|V*_V2500_Oph|VVO___6|Zkh_269|[RHG95]__2849|WISEA_J175747.94+044323.8|PLX_4098.00|1E_1755.3+0438|NAME_Barnard's_star|NAME_Barnard_Star|UCAC4_474-068224|StKM_2-1355|PM_J17578+0441N|GEN#_+0.00403561|uvby98_000403561|WEB_14849|Gaia_DR2_4472832130942575872|Karmn_J17578+046,Gaia_DR2_4472832130942575872,TIC 325554331,./library/20240701_specmatch_nir/FITS/neidL2_20220514T102831.fits,899.805,64.0962,2022A-452266,-110.55,neidL2_20220514T102831.fits,TIC_325554331|PLX_4098|LSPM_J1757+0441|ASCC_1153178|UCAC2__33428712|2MASS_J17574849+0441405|USNO-B1.0_0946-00315199|8pc_549.01|AC2000__146626|BD+04__3561a|CCDM_J17578+0441A|CSI+04-17554|CSV___7737|Ci_20_1069|G_140-24|GAT___12|GCRV_10392|GJ___699|GSC_00425-00184|GSC_00425-02502|HIC__87937|HIP__87937|IRAS_17553+0438|JP11____18|LFT_1385|LHS____57|LTT_15309|MCC_799|NLTT_45718|NSV__9910|TYC__425-2502-1|UBV___15269|USNO_347|USNO_876|V*_V2500_Oph|VVO___6|Zkh_269|[RHG95]__2849|WISEA_J175747.94+044323.8|PLX_4098.00|1E_1755.3+0438|NAME_Barnard's_star|NAME_Barnard_Star|UCAC4_474-068224|StKM_2-1355|PM_J17578+0441N|GEN#_+0.00403561|uvby98_000403561|WEB_14849|Gaia_DR2_4472832130942575872|Karmn_J17578+046
GJ_1148,Mann,3304,61,0.07,0.08,4.814,0.053,N/A,TIC_115869504|WISEA_J114144.08+424506.2|Gaia_DR2_772430527947893632|TYC_3016-1877-1|PM_J11417+4245|UCAC4_664-056772|LSPM_J1141+4245|ASCC__408337|UCAC2__46566670|G_122-40|GJ__1148|HIC__57050|HIP__57050|LFT__836|LHS__2443|LTT_13210|NLTT_28266|Ross_1003|USNO_725|[RHG95]__1827|2MASS_J11414471+4245072|USNO-B1.0_1327-00279297|PLX_2703.01|HAT_141-00143|Gaia_DR1_772430901610348032|Karmn_J11417+427,Gaia_DR2_772430527947893632,TIC 115869504,./library/20240701_specmatch_nir/FITS/neidL2_20220515T080022.fits,899.738,12.2934,2022A-452266,-9.0539,neidL2_20220515T080022.fits,TIC_115869504|WISEA_J114144.08+424506.2|Gaia_DR2_772430527947893632|TYC_3016-1877-1|PM_J11417+4245|UCAC4_664-056772|LSPM_J1141+4245|ASCC__408337|UCAC2__46566670|G_122-40|GJ__1148|HIC__57050|HIP__57050|LFT__836|LHS__2443|LTT_13210|NLTT_28266|Ross_1003|USNO_725|[RHG95]__1827|2MASS_J11414471+4245072|USNO-B1.0_1327-00279297|PLX_2703.01|HAT_141-00143|Gaia_DR1_772430901610348032|Karmn_J11417+427
GJ_701,Mann,3614,60,-0.22,0.08,4.788,0.048,N/A,TIC_41378014|PLX_4133|8pc_128.28|BD-03__4233|DO__4566|G__21-1|G__20-22|GCRV_10525|GEN#_+1.00165222|GJ___701|HD_165222|HIC__88574|HIP__88574|IRAS_18024-0302|JP11__2924|L__991-14|LFT_1389|LHS__3356|LPM_667|LTT__7180|MCC_176|NLTT_45883|NSV_10167|PM_18025-0302|PPM_201375|SAO_142072|TYC_5100-282-1|UBV___15372|UGP_443|VVO_182|YZ__93__6055|YZC_17__6055|Zkh_270|[RHG95]__2859|2MASS_J18050755-0301523|UCAC2__30729179|PLX_4133.00|WISEA_J180507.97-030156.2|UCAC4_435-075468|PM_J18051-0301|WEB_14999|Gaia_DR2_4177731838628465408,Gaia_DR2_4177731838628465408,HD 165222,./library/20240701_specmatch_nir/FITS/neidL2_20220516T110132.fits,899.804,80.5866,2022A-452266,32.6265,neidL2_20220516T110132.fits,TIC_41378014|PLX_4133|8pc_128.28|BD-03__4233|DO__4566|G__21-1|G__20-22|GCRV_10525|GEN#_+1.00165222|GJ___701|HD_165222|HIC__88574|HIP__88574|IRAS_18024-0302|JP11__2924|L__991-14|LFT_1389|LHS__3356|LPM_667|LTT__7180|MCC_176|NLTT_45883|NSV_10167|PM_18025-0302|PPM_201375|SAO_142072|TYC_5100-282-1|UBV___15372|UGP_443|VVO_182|YZ__93__6055|YZC_17__6055|Zkh_270|[RHG95]__2859|2MASS_J18050755-0301523|UCAC2__30729179|PLX_4133.00|WISEA_J180507.97-030156.2|UCAC4_435-075468|PM_J18051-0301|WEB_14999|Gaia_DR2_4177731838628465408
GJ_649,Von Braun,3590,45,-0.04,0.1,4.75,0.02,N/A,TIC_236743275|PLX_3857|LSPM_J1658+2544|ASCC__694128|UCAC2__40870437|USNO-B1.0_1157-00248752|BD+25__3173|Ci_20_1014|G_169-38|G_170-6|GCRV__9782|GEN#_+0.02503173|GJ___649|HIC__83043|HIP__83043|IRAS_16560+2549|LFT_1313|LHS__3257|LTT_15016|MCC_785|NLTT_43922|PM_16561+2550|Ross__860|TYC_2063-479-1|UBV___14365|UBV_M___1485|VVO__44|Zkh_239|[RHG95]__2673|2MASS_J16580884+2544392|PLX_3857.00|WISEA_J165808.75+254433.6|NSV_20873|Gaia_DR2_4572835535272064768|UCAC4_579-054393|StKM_2-1286|PM_J16581+2544|Gaia_DR1_4572835737133711744|WEB_14039|Karmn_J16581+257,Gaia_DR2_4572835535272064768,TIC 236743275,./library/20240701_specmatch_nir/FITS/neidL2_20220610T070906.fits,899.853,66.9914,2022A-452266,4.28968,neidL2_20220610T070906.fits,TIC_236743275|PLX_3857|LSPM_J1658+2544|ASCC__694128|UCAC2__40870437|USNO-B1.0_1157-00248752|BD+25__3173|Ci_20_1014|G_169-38|G_170-6|GCRV__9782|GEN#_+0.02503173|GJ___649|HIC__83043|HIP__83043|IRAS_16560+2549|LFT_1313|LHS__3257|LTT_15016|MCC_785|NLTT_43922|PM_16561+2550|Ross__860|TYC_2063-479-1|UBV___14365|UBV_M___1485|VVO__44|Zkh_239|[RHG95]__2673|2MASS_J16580884+2544392|PLX_3857.00|WISEA_J165808.75+254433.6|NSV_20873|Gaia_DR2_4572835535272064768|UCAC4_579-054393|StKM_2-1286|PM_J16581+2544|Gaia_DR1_4572835737133711744|WEB_14039|Karmn_J16581+257
GJ_458.2,Mann,3900,61,0.14,0.08,4.633,0.056,N/A,TIC_53580461|LSPM_J1215+4843|ASCC__329726|USNO-B1.0_1387-00223528|BD+49__2126|G_198-37|GJ___458.2|GSC_03455-00111|HIC__59748|HIP__59748|MCC_640|NGP_49__71|NLTT_30123|TYC_3455-111-1|[RHG95]__1925|2MASS_J12150885+4843574|Pul_-3__910088|GJ__9399|UCAC4_694-052092|StKM_2-807|PM_J12151+4843|Gaia_DR1_1545795529110395136|Gaia_DR2_1545795529110395136,Gaia_DR2_1545795529110395136,TIC 53580461,./library/20240701_specmatch_nir/FITS/neidL2_20220515T082008.fits,899.784,30.1584,2022A-452266,-14.112,neidL2_20220515T082008.fits,TIC_53580461|LSPM_J1215+4843|ASCC__329726|USNO-B1.0_1387-00223528|BD+49__2126|G_198-37|GJ___458.2|GSC_03455-00111|HIC__59748|HIP__59748|MCC_640|NGP_49__71|NLTT_30123|TYC_3455-111-1|[RHG95]__1925|2MASS_J12150885+4843574|Pul_-3__910088|GJ__9399|UCAC4_694-052092|StKM_2-807|PM_J12151+4843|Gaia_DR1_1545795529110395136|Gaia_DR2_1545795529110395136
GJ_393,Mann,3548,60,-0.18,0.08,4.821,0.05,N/A,TIC_277888583|PLX_2456|LSPM_J1028+0050|ASCC_1133482|UCAC2__32036240|USNO-B1.0_0908-00191111|8pc_138.29|AG+01_1298|BD+01__2447|Ci_20__580|G__55-24|G_162-60|GCRV__6576|GEN#_+0.00102447|GJ___393|GSC_00246-01068|HIC__51317|HIP__51317|JP11_____7|LFT__719|LHS__2272|LTT_12805|MCC_127|NAME_NC_28|NLTT_24467|PPM_156874|Ross__446|TYC__246-1068-1|UBV____9694|UBV_M____156|UBV____9672|VVO_262|Zkh_142|[ATZ98]_C060|[RHG95]__1642|2MASS_J10285555+0050275|PLX_2456.00|1RXS_J102855.9+005023|RX_J1028.9+0050|ASAS_J102856+0050.5|WISEA_J102855.13+005020.1|UCAC4_455-050081|StKM_2-642|PM_J10289+0050|GALEX_6381928538042272148|WEB__9373|Gaia_DR2_3855208897392952192,Gaia_DR2_3855208897392952192,TIC 277888583,./library/20240701_specmatch_nir/FITS/neidL2_20220222T064810.fits,899.773,27.8654,2022A-452266,8.29637,neidL2_20220222T064810.fits,TIC_277888583|PLX_2456|LSPM_J1028+0050|ASCC_1133482|UCAC2__32036240|USNO-B1.0_0908-00191111|8pc_138.29|AG+01_1298|BD+01__2447|Ci_20__580|G__55-24|G_162-60|GCRV__6576|GEN#_+0.00102447|GJ___393|GSC_00246-01068|HIC__51317|HIP__51317|JP11_____7|LFT__719|LHS__2272|LTT_12805|MCC_127|NAME_NC_28|NLTT_24467|PPM_156874|Ross__446|TYC__246-1068-1|UBV____9694|UBV_M____156|UBV____9672|VVO_262|Zkh_142|[ATZ98]_C060|[RHG95]__1642|2MASS_J10285555+0050275|PLX_2456.00|1RXS_J102855.9+005023|RX_J1028.9+0050|ASAS_J102856+0050.5|WISEA_J102855.13+005020.1|UCAC4_455-050081|StKM_2-642|PM_J10289+0050|GALEX_6381928538042272148|WEB__9373|Gaia_DR2_3855208897392952192
